#@ TextLoader{
#@   header+
#@   sep=semicolon
#@   col=Port_Name:TX:0
#@   col=State:TX:1
#@   col=Port_Code:TX:2
#@   col=Border:TX:3
#@   col=Longitud:TX:4
#@   col=Latitud:TX:5
#@   col=Label:R4:6
#@   col=MesInd:R4:7-18
#@   col=YearInd:R4:19-43
#@   col=MeasureInd:R4:44-55
#@   col=Features:R4:56-104
#@   col=LabelNormalized:R4:105
#@ }
Port_Name;State;Port_Code;Border;Longitud;Latitud;Label;1;8;2;6;12;10;3;7;11;9;5;4;1996;2009;2002;2013;2006;2000;2005;2007;2010;2003;1997;2004;2011;1999;2008;2019;2015;2001;2020;1998;2014;2016;2018;2012;2017;Pedestrians;Rail Containers Empty;Personal Vehicle Passengers;Truck Containers Empty;Buses;Rail Containers Loaded;Bus Passengers;Trucks;Truck Containers Loaded;Train Passengers;Personal Vehicles;Trains;MesInd.1;MesInd.8;MesInd.2;MesInd.6;MesInd.12;MesInd.10;MesInd.3;MesInd.7;MesInd.11;MesInd.9;MesInd.5;MesInd.4;YearInd.1996;YearInd.2009;YearInd.2002;YearInd.2013;YearInd.2006;YearInd.2000;YearInd.2005;YearInd.2007;YearInd.2010;YearInd.2003;YearInd.1997;YearInd.2004;YearInd.2011;YearInd.1999;YearInd.2008;YearInd.2019;YearInd.2015;YearInd.2001;YearInd.2020;YearInd.1998;YearInd.2014;YearInd.2016;YearInd.2018;YearInd.2012;YearInd.2017;MeasureInd.Pedestrians;MeasureInd.Rail Containers Empty;MeasureInd.Personal Vehicle Passengers;MeasureInd.Truck Containers Empty;MeasureInd.Buses;MeasureInd.Rail Containers Loaded;MeasureInd.Bus Passengers;MeasureInd.Trucks;MeasureInd.Truck Containers Loaded;MeasureInd.Train Passengers;MeasureInd.Personal Vehicles;MeasureInd.Trains;LabelNormalized
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;326808;99;0:1;12:1;37:1;49:1;61:1;86:1;98:0.411612
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3471;99;1:1;13:1;38:1;50:1;62:1;87:1;98:0.004371696
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2077288;99;2:1;14:1;39:1;51:1;63:1;88:1;98:2.6163273
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;18766;99;3:1;15:1;40:1;52:1;64:1;89:1;98:0.023635624
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2096;99;4:1;13:1;41:1;53:1;62:1;90:1;98:0.0026398948
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1267;99;5:1;16:1;41:1;54:1;65:1;90:1;98:0.0015957761
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1050;99;6:1;17:1;42:1;55:1;66:1;91:1;98:0.0013224664
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;352;99;2:1;12:1;41:1;51:1;61:1;90:1;98:0.00044334112
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4729;99;7:1;18:1;38:1;56:1;67:1;87:1;98:0.0059561366
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;24993;99;6:1;18:1;40:1;55:1;67:1;89:1;98:0.03147848
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;34353;99;7:1;16:1;43:1;56:1;65:1;92:1;98:0.04326732
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;51107;99;8:1;17:1;44:1;57:1;66:1;93:1;98:0.064368844
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;53060;99;4:1;19:1;44:1;53:1;68:1;93:1;98:0.06682864
